Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
HTTP Request,100,23,6,95,23.37,0.000%,108.57763,692.92,12.83,6535.0
TOTAL,100,23,6,95,23.37,0.000%,108.57763,692.92,12.83,6535.0
